# time_ps  C_avg  count
  0.77000000 -1.660569170582e-02 34845056
  0.77500000  6.817776876276e-04 34842844
  0.78000000 -5.071905449796e-03 34840632
  0.78500000 -5.209216395085e-03 34838420
  0.79000000  1.182828501687e-02 34836208
  0.79500000 -3.560340746872e-03 34833996
  0.80000000  7.294779073770e-03 34831784
  0.80500000 -9.040071619468e-03 34829574
  0.81000000 -8.401052046477e-03 34827364
  0.81500000  5.485041904257e-03 34825154
  0.82000000 -1.229318833991e-02 34822944
  0.82500000  6.923258796063e-03 34820736
  0.83000000 -2.133299903629e-03 34818530
  0.83500000 -3.722744828928e-05 34816324
  0.84000000  5.492613914608e-03 34814118
  0.84500000 -1.102821329402e-02 34811912
  0.85000000  1.565383049251e-02 34809706
  0.85500000 -4.484521546252e-03 34807500
  0.86000000 -2.214597349270e-03 34805294
  0.86500000  2.436700497914e-03 34803088
  0.87000000 -9.706727402500e-03 34800886
  0.87500000  1.362374271337e-02 34798684
  0.88000000 -1.013015930250e-02 34796482
  0.88500000  1.188371007564e-02 34794280
  0.89000000  6.922151860899e-03 34792078
  0.89500000 -1.097557908939e-02 34789878
  0.90000000  8.534993107988e-03 34787680
  0.90500000 -9.740487524079e-03 34785482
  0.91000000  1.388959129779e-02 34783284
  0.91500000 -7.544105118200e-03 34781088
  0.92000000 -9.972001865310e-03 34778892
  0.92500000  8.114388075310e-03 34776698
  0.93000000 -1.214988105998e-02 34774504
  0.93500000  5.032619293998e-03 34772310
  0.94000000 -6.117622346759e-03 34770116
  0.94500000  9.512317544260e-03 34767922
  0.95000000  1.089034686254e-02 34765728
  0.95500000 -1.075657982279e-02 34763534
  0.96000000  9.243972202402e-03 34761342
  0.96500000  4.296525696756e-04 34759150
  0.97000000  2.543286271559e-03 34756958
  0.97500000 -3.223864104475e-03 34754768
  0.98000000 -7.028516158690e-03 34752578
  0.98500000  1.267979657573e-02 34750388
  0.99000000 -7.385154659379e-03 34748200
  0.99500000 -3.218016218520e-03 34746012
