# frequency_cm^-1 signal
4.429318580307091224e+02 -1.404268363234443706e+00
4.444487479554719016e+02 -1.402112354682137463e+00
4.459656378802345671e+02 -1.401395897646013466e+00
4.474825278049972894e+02 -1.403162561607074199e+00
4.489994177297599549e+02 -1.408322821970042327e+00
4.505163076545226772e+02 -1.417579306564008768e+00
4.520331975792853427e+02 -1.431364863323069558e+00
4.535500875040481219e+02 -1.449798283222097028e+00
4.550669774288107874e+02 -1.472661296519192087e+00
4.565838673535735097e+02 -1.499398966897125263e+00
4.581007572783361752e+02 -1.529143944509552711e+00
4.596176472030988975e+02 -1.560763325544620495e+00
4.611345371278616199e+02 -1.592925227259261778e+00
4.626514270526243422e+02 -1.624180743145783090e+00
4.641683169773870077e+02 -1.653055798912419716e+00
4.656852069021497300e+02 -1.678146670747410862e+00
4.672020968269123955e+02 -1.698212609630861403e+00
4.687189867516751747e+02 -1.712259164072962747e+00
4.702358766764378402e+02 -1.719606399608827996e+00
4.717527666012005625e+02 -1.719937234495689582e+00
4.732696565259632280e+02 -1.713322475009273482e+00
4.747865464507259503e+02 -1.700220743286288583e+00
4.763034363754886158e+02 -1.681453230731634552e+00
4.778203263002513950e+02 -1.658154956058900398e+00
4.793372162250140605e+02 -1.631705834110991127e+00
4.808541061497767828e+02 -1.603646253444358072e+00
4.823709960745394483e+02 -1.575582918103899388e+00
4.838878859993021706e+02 -1.549091357215238940e+00
4.854047759240648361e+02 -1.525621699816054999e+00
4.869216658488275016e+02 -1.506414039486342782e+00
4.884385557735902808e+02 -1.492428995276247949e+00
4.899554456983529462e+02 -1.484297965681951936e+00
4.914723356231156686e+02 -1.482296152556211055e+00
4.929892255478783341e+02 -1.486339805462361774e+00
4.945061154726410564e+02 -1.496007422102525908e+00
4.960230053974037219e+02 -1.510582960854711665e+00
4.975398953221665010e+02 -1.529117597659903627e+00
4.990567852469291665e+02 -1.550505300011552068e+00
5.005736751716918889e+02 -1.573566584261577583e+00
5.020905650964545544e+02 -1.597134331305899657e+00
5.036074550212172767e+02 -1.620135491770559488e+00
5.051243449459799422e+02 -1.641662914151729602e+00
5.066412348707427213e+02 -1.661032344541001127e+00
5.081581247955053868e+02 -1.677820811313064375e+00
5.096750147202681092e+02 -1.691884034152530081e+00
5.111919046450307746e+02 -1.703352077325400948e+00
5.127087945697935538e+02 -1.712604084956700579e+00
5.142256844945561625e+02 -1.720224472241142832e+00
5.157425744193188848e+02 -1.726944288894799451e+00
5.172594643440816071e+02 -1.733572522766756441e+00
5.187763542688443295e+02 -1.740922797515845222e+00
5.202932441936070518e+02 -1.749741191252567329e+00
5.218101341183697741e+02 -1.760640746474090745e+00
5.233270240431323828e+02 -1.774047670716066394e+00
5.248439139678951051e+02 -1.790163287826953331e+00
5.263608038926578274e+02 -1.808944564277353173e+00
5.278776938174205497e+02 -1.830104597484316864e+00
5.293945837421832721e+02 -1.853132922124987481e+00
5.309114736669459944e+02 -1.877333980449314321e+00
5.324283635917086031e+02 -1.901880726045702463e+00
5.339452535164713254e+02 -1.925879189203020925e+00
5.354621434412340477e+02 -1.948439009793799359e+00
5.369790333659966564e+02 -1.968744500234994588e+00
5.384959232907594924e+02 -1.986120767948237997e+00
5.400128132155221010e+02 -2.000089804671441485e+00
5.415297031402848233e+02 -2.010412209330722177e+00
5.430465930650475457e+02 -2.017111294186833881e+00
5.445634829898102680e+02 -2.020477649089257532e+00
5.460803729145728767e+02 -2.021053706726979371e+00
5.475972628393357127e+02 -2.019599353320060242e+00
5.491141527640983213e+02 -2.017041052653880673e+00
5.506310426888610436e+02 -2.014408191187869956e+00
5.521479326136237660e+02 -2.012761316452279736e+00
5.536648225383864883e+02 -2.013117558867551171e+00
5.551817124631492106e+02 -2.016378752944598229e+00
5.566986023879119330e+02 -2.023267590955986073e+00
5.582154923126745416e+02 -2.034276564091146433e+00
5.597323822374372639e+02 -2.049633515316664933e+00
5.612492721621999863e+02 -2.069286412978867506e+00
5.627661620869627086e+02 -2.092908543707127311e+00
5.642830520117254309e+02 -2.119923820726270947e+00
5.657999419364881533e+02 -2.149550419251232469e+00
5.673168318612507619e+02 -2.180859592849110129e+00
5.688337217860134842e+02 -2.212845392896128693e+00
5.703506117107762066e+02 -2.244500190471112600e+00
5.718675016355389289e+02 -2.274890446729962878e+00
5.733843915603016512e+02 -2.303227127753201486e+00
5.749012814850643736e+02 -2.328925517651073029e+00
5.764181714098269822e+02 -2.351649924509911393e+00
5.779350613345897045e+02 -2.371339845126188450e+00
5.794519512593524269e+02 -2.388215480164152638e+00
5.809688411841151492e+02 -2.402761976859360882e+00
5.824857311088778715e+02 -2.415693315642867933e+00
5.840026210336404802e+02 -2.427898240133651075e+00
5.855195109584032025e+02 -2.440371950816154989e+00
5.870364008831659248e+02 -2.454138346811589155e+00
5.885532908079286472e+02 -2.470168331024436448e+00
5.900701807326912558e+02 -2.489300038663081249e+00
5.915870706574540918e+02 -2.512166781949883188e+00
5.931039605822167005e+02 -2.539138027949232601e+00
5.946208505069794228e+02 -2.570277873699522875e+00
5.961377404317421451e+02 -2.605324311431292283e+00
5.976546303565048674e+02 -2.643691166993029640e+00
5.991715202812674761e+02 -2.684493043636247300e+00
6.006884102060303121e+02 -2.726592017735109064e+00
6.022053001307929208e+02 -2.768663321866686289e+00
6.037221900555556431e+02 -2.809275917778051745e+00
6.052390799803183654e+02 -2.846982798598876929e+00
6.067559699050810877e+02 -2.880415139136813796e+00
6.082728598298436964e+02 -2.908374084660201753e+00
6.097897497546065324e+02 -2.929914054945356838e+00
6.113066396793691410e+02 -2.944411936139021524e+00
6.128235296041318634e+02 -2.951617405172534347e+00
6.143404195288945857e+02 -2.951680821902877838e+00
6.158573094536573080e+02 -2.945156553618462514e+00
6.173741993784200304e+02 -2.932981170223239342e+00
6.188910893031827527e+02 -2.916427562395369488e+00
6.204079792279453613e+02 -2.897037583329709065e+00
6.219248691527080837e+02 -2.876537196356732551e+00
6.234417590774708060e+02 -2.856739236500995371e+00
6.249586490022335283e+02 -2.839439692091291434e+00
6.264755389269962507e+02 -2.826313833079101556e+00
6.279924288517589730e+02 -2.818818531027324159e+00
6.295093187765215816e+02 -2.818106733425156385e+00
6.310262087012843040e+02 -2.824959299606036200e+00
6.325430986260470263e+02 -2.839738328384556532e+00
6.340599885508096349e+02 -2.862364779941836801e+00
6.355768784755724710e+02 -2.892321702955191753e+00
6.370937684003350796e+02 -2.928682818239682017e+00
6.386106583250978019e+02 -2.970164680929295642e+00
6.401275482498605243e+02 -3.015199239673970411e+00
6.416444381746232466e+02 -3.062022419125900896e+00
6.431613280993858552e+02 -3.108773441945687388e+00
6.446782180241486913e+02 -3.153599030405775494e+00
6.461951079489112999e+02 -3.194756415152586904e+00
6.477119978736740222e+02 -3.230709236159853059e+00
6.492288877984367446e+02 -3.260210931442937721e+00
6.507457777231994669e+02 -3.282371034138138022e+00
6.522626676479620755e+02 -3.296700880830530700e+00
6.537795575727249116e+02 -3.303136501694675431e+00
6.552964474974875202e+02 -3.302037834563919194e+00
6.568133374222502425e+02 -3.294164794640932037e+00
6.583302273470129649e+02 -3.280632054589153856e+00
6.598471172717756872e+02 -3.262845568066089275e+00
6.613640071965382958e+02 -3.242424836410656042e+00
6.628808971213011318e+02 -3.221115621226394499e+00
6.643977870460637405e+02 -3.200698210836567359e+00
6.659146769708264628e+02 -3.182896441181414460e+00
6.674315668955891852e+02 -3.169292456445351736e+00
6.689484568203519075e+02 -3.161251694948253199e+00
6.704653467451145161e+02 -3.159861841551458550e+00
6.719822366698773521e+02 -3.165888552425028646e+00
6.734991265946400745e+02 -3.179749694573613894e+00
6.750160165194026831e+02 -3.201508719501867439e+00
6.765329064441654054e+02 -3.230886677258807627e+00
6.780497963689280141e+02 -3.267291339914559334e+00
6.795666862936907364e+02 -3.309861001070077968e+00
6.810835762184535724e+02 -3.357519798429505986e+00
6.826004661432161811e+02 -3.409040904769901292e+00
6.841173560679789034e+02 -3.463113669066390621e+00
6.856342459927415121e+02 -3.518410768950283707e+00
6.871511359175043481e+02 -3.573651647980829349e+00
6.886680258422670704e+02 -3.627658932582784157e+00
6.901849157670296790e+02 -3.679405118509524009e+00
6.917018056917924014e+02 -3.728047540996793252e+00
6.932186956165551237e+02 -3.772950446274686342e+00
6.947355855413178460e+02 -3.813693812296548913e+00
6.962524754660804547e+02 -3.850069371855051159e+00
6.977693653908431770e+02 -3.882065024191787117e+00
6.992862553156060130e+02 -3.909839441073185817e+00
7.008031452403686217e+02 -3.933689148386474432e+00
7.023200351651313440e+02 -3.954010673379527940e+00
7.038369250898939526e+02 -3.971260480782167868e+00
7.053538150146567887e+02 -3.985915379585095231e+00
7.068707049394195110e+02 -3.998435878268081112e+00
7.083875948641821196e+02 -4.009234621194689652e+00
7.099044847889448420e+02 -4.018651581736493839e+00
7.114213747137075643e+02 -4.026937152853324875e+00
7.129382646384702866e+02 -4.034243700712872638e+00
7.144551545632328953e+02 -4.040625569360952518e+00
7.159720444879956176e+02 -4.046046980453144926e+00
7.174889344127584536e+02 -4.050396793611126256e+00
7.190058243375210623e+02 -4.053508706255843030e+00
7.205227142622837846e+02 -4.055185195852136104e+00
7.220396041870463932e+02 -4.055223353495742700e+00
7.235564941118092293e+02 -4.053440728594763343e+00
7.250733840365719516e+02 -4.049699395002353874e+00
7.265902739613345602e+02 -4.043926647097435989e+00
7.281071638860972826e+02 -4.036131021689511655e+00
7.296240538108598912e+02 -4.026412695382311391e+00
7.311409437356227272e+02 -4.014967701436495950e+00
7.326578336603853359e+02 -4.002085818408636086e+00
7.341747235851480582e+02 -3.988142378773803731e+00
7.356916135099107805e+02 -3.973584605528146962e+00
7.372085034346735029e+02 -3.958913388274111878e+00
7.387253933594362252e+02 -3.944661642145171232e+00
7.402422832841988338e+02 -3.931370543239089077e+00
7.417591732089615562e+02 -3.919564998903700026e+00
7.432760631337243922e+02 -3.909729691870392543e+00
7.447929530584870008e+02 -3.902286940723524111e+00
7.463098429832497231e+02 -3.897577456863786427e+00
7.478267329080123318e+02 -3.895844864735598101e+00
7.493436228327751678e+02 -3.897224604626533750e+00
7.508605127575378901e+02 -3.901737573716076657e+00
7.523774026823004988e+02 -3.909288598794064207e+00
7.538942926070632211e+02 -3.919669589179611169e+00
7.554111825318259434e+02 -3.932567004287960799e+00
7.569280724565886658e+02 -3.947573097134896791e+00
7.584449623813512744e+02 -3.964200269160947698e+00
7.599618523061139967e+02 -3.981897795463487988e+00
7.614787422308768328e+02 -4.000070151389238049e+00
7.629956321556394414e+02 -4.018096186618063115e+00
7.645125220804021637e+02 -4.035348443799033902e+00
7.660294120051647724e+02 -4.051211996052903608e+00
7.675463019299276084e+02 -4.065102270894954017e+00
7.690631918546903307e+02 -4.076481427100061339e+00
7.705800817794529394e+02 -4.084872946477022815e+00
7.720969717042156617e+02 -4.089874186997688454e+00
7.736138616289783840e+02 -4.091166712204802103e+00
7.751307515537411064e+02 -4.088524262036049350e+00
7.766476414785037150e+02 -4.081818262741824910e+00
7.781645314032664373e+02 -4.071020791693284124e+00
7.796814213280290460e+02 -4.056204922036885208e+00
7.811983112527918820e+02 -4.037542379343214805e+00
7.827152011775546043e+02 -4.015298455304535885e+00
7.842320911023172130e+02 -3.989824149599700664e+00
7.857489810270799353e+02 -3.961545556533297763e+00
7.872658709518427713e+02 -3.930950582200078980e+00
7.887827608766053800e+02 -3.898573172226497352e+00
7.902996508013681023e+02 -3.864975347903421010e+00
7.918165407261307109e+02 -3.830727484677334704e+00
7.933334306508935470e+02 -3.796387413204774575e+00
7.948503205756561556e+02 -3.762479068413082217e+00
7.963672105004188779e+02 -3.729471543155139290e+00
7.978841004251816003e+02 -3.697759506005665386e+00
7.994009903499443226e+02 -3.667646003634510432e+00
8.009178802747070449e+02 -3.639328674612762882e+00
8.024347701994696536e+02 -3.612890343832280138e+00
8.039516601242323759e+02 -3.588294839239712708e+00
8.054685500489952119e+02 -3.565388674436019478e+00
8.069854399737578206e+02 -3.543908976450606207e+00
8.085023298985205429e+02 -3.523497717894309211e+00
8.100192198232831515e+02 -3.503721952373631598e+00
8.115361097480459875e+02 -3.484099371884122220e+00
8.130529996728087099e+02 -3.464128128877600243e+00
8.145698895975713185e+02 -3.443319519914961546e+00
8.160867795223340408e+02 -3.421231838712086137e+00
8.176036694470967632e+02 -3.397503498795888532e+00
8.191205593718594855e+02 -3.371883421175191131e+00
8.206374492966220942e+02 -3.344256696244115368e+00
8.221543392213848165e+02 -3.314663670429562004e+00
8.236712291461476525e+02 -3.283310877564983521e+00
8.251881190709102611e+02 -3.250572624508714981e+00
8.267050089956729835e+02 -3.216982533163246671e+00
8.282218989204355921e+02 -3.183214911571274897e+00
8.297387888451983144e+02 -3.150056442917947841e+00
8.312556787699611505e+02 -3.118369305596575991e+00
8.327725686947237591e+02 -3.089047429617759910e+00
8.342894586194864814e+02 -3.062968113898420608e+00
8.358063485442490901e+02 -3.040941637218562477e+00
8.373232384690119261e+02 -3.023661760043664160e+00
8.388401283937745347e+02 -3.011660109996926238e+00
8.403570183185372571e+02 -3.005267355531321627e+00
8.418739082432998657e+02 -3.004583796819526587e+00
8.433907981680627017e+02 -3.009461548896869232e+00
8.449076880928254241e+02 -3.019499880805798231e+00
