# frequency_cm^-1 signal
4.747865464507259503e+02 -1.426562590906166328e+00
4.763034363754886158e+02 4.508292800327439842e+00
4.778203263002513950e+02 1.000233261582754274e+01
4.793372162250140605e+02 1.462924633288326604e+01
4.808541061497767828e+02 1.802901083116060477e+01
4.823709960745394483e+02 1.993633727802530586e+01
4.838878859993021706e+02 2.020180825310732331e+01
4.854047759240648361e+02 1.880401030015343622e+01
4.869216658488275016e+02 1.585166758546804289e+01
4.884385557735902808e+02 1.157556451432019884e+01
4.899554456983529462e+02 6.310847755636339151e+00
4.914723356231156686e+02 4.710579859533495783e-01
4.929892255478783341e+02 -5.484101314544222561e+00
4.945061154726410564e+02 -1.108474877566978734e+01
4.960230053974037219e+02 -1.588774802444256196e+01
4.975398953221665010e+02 -1.951166678662748311e+01
4.990567852469291665e+02 -2.166701268781999801e+01
5.005736751716918889e+02 -2.217934657318323843e+01
5.020905650964545544e+02 -2.100342515864068460e+01
5.036074550212172767e+02 -1.822722388347284905e+01
5.051243449459799422e+02 -1.406548348391318548e+01
5.066412348707427213e+02 -8.843247948818911297e+00
5.081581247955053868e+02 -2.970652288197595858e+00
5.096750147202681092e+02 3.089086576150719132e+00
5.111919046450307746e+02 8.855978731499122958e+00
5.127087945697935538e+02 1.387102385336895694e+01
5.142256844945561625e+02 1.773245525172225712e+01
5.157425744193188848e+02 2.012760110436241590e+01
5.172594643440816071e+02 2.085783294462511250e+01
5.187763542688443295e+02 1.985460683583854902e+01
5.202932441936070518e+02 1.718529765723049607e+01
5.218101341183697741e+02 1.304832737595230086e+01
5.233270240431323828e+02 7.757931361493601408e+00
5.248439139678951051e+02 1.719726342557630794e+00
5.263608038926578274e+02 -4.601025277418955284e+00
5.278776938174205497e+02 -1.071597543123336216e+01
5.293945837421832721e+02 -1.615220410516792526e+01
5.309114736669459944e+02 -2.048964985197908462e+01
5.324283635917086031e+02 -2.339449301286385108e+01
5.339452535164713254e+02 -2.464583478782397563e+01
5.354621434412340477e+02 -2.415353369092190050e+01
5.369790333659966564e+02 -2.196575049738581953e+01
5.384959232907594924e+02 -1.826555985399554061e+01
5.400128132155221010e+02 -1.335684809805617590e+01
5.415297031402848233e+02 -7.640564767802032975e+00
5.430465930650475457e+02 -1.583162806079601914e+00
5.445634829898102680e+02 4.320311372279268980e+00
5.460803729145728767e+02 9.585582010877462977e+00
5.475972628393357127e+02 1.377785820834997033e+01
5.491141527640983213e+02 1.654682989332940224e+01
5.506310426888610436e+02 1.765515546754280862e+01
5.521479326136237660e+02 1.699815070240979509e+01
5.536648225383864883e+02 1.461307131901590850e+01
5.551817124631492106e+02 1.067719470118936798e+01
5.566986023879119330e+02 5.494785920529232648e+00
5.582154923126745416e+02 -5.260893126958581245e-01
5.597323822374372639e+02 -6.905136146812146158e+00
5.612492721621999863e+02 -1.312734713051145619e+01
5.627661620869627086e+02 -1.868354229944774048e+01
5.642830520117254309e+02 -2.311075672640815526e+01
5.657999419364881533e+02 -2.602929348804763166e+01
5.673168318612507619e+02 -2.717350428753911729e+01
5.688337217860134842e+02 -2.641383647354612307e+01
5.703506117107762066e+02 -2.376835753881175606e+01
5.718675016355389289e+02 -1.940278444378681044e+01
5.733843915603016512e+02 -1.361894183894920829e+01
5.749012814850643736e+02 -6.832480411052153535e+00
5.764181714098269822e+02 4.584670014755871659e-01
5.779350613345897045e+02 7.711294872507580500e+00
5.794519512593524269e+02 1.438066874300657361e+01
5.809688411841151492e+02 1.996076443007279977e+01
5.824857311088778715e+02 2.402470847279507282e+01
5.840026210336404802e+02 2.625812778638435674e+01
5.855195109584032025e+02 2.648416148704840722e+01
5.870364008831659248e+02 2.467794179087143647e+01
