# time_ps  C_avg  count
  0.34500000  6.086101799694e-02 230226
  0.35000000  3.357191439930e-03 228466
  0.35500000 -6.034946188816e-02 226706
  0.36000000 -8.262312705526e-02 224946
  0.36500000 -5.564643080326e-02 223186
  0.37000000  1.495758219906e-01 221426
  0.37500000 -6.865260192004e-02 219666
  0.38000000 -3.752278930970e-02 217906
  0.38500000  1.087916228153e-01 216146
  0.39000000  7.134838317160e-02 214386
  0.39500000  1.016472998372e-01 212626
  0.40000000 -1.223885345185e-02 210866
  0.40500000  1.670703020418e-01 209106
  0.41000000  1.307911298432e-01 207346
  0.41500000 -1.125539182982e-01 205586
  0.42000000 -7.065196063239e-02 203826
  0.42500000 -1.098518709251e-01 202066
  0.43000000  7.344910777710e-03 200306
  0.43500000 -9.689175844384e-02 198546
  0.44000000 -9.789385225439e-02 196786
  0.44500000  1.070438776805e-01 195026
  0.45000000  3.431845439427e-02 193266
  0.45500000  9.587659091816e-02 191506
  0.46000000  2.013532213643e-04 189746
  0.46500000  5.524201087765e-02 187986
  0.47000000  4.728930616474e-02 186226
  0.47500000 -1.794854266747e-01 184466
  0.48000000 -4.919909850319e-02 182706
  0.48500000 -4.277715080392e-02 180946
  0.49000000  9.339735677719e-02 179186
  0.49500000 -1.736596001279e-02 177426
  0.50000000 -5.653161597634e-02 175666
  0.50500000  1.329973569677e-01 173906
  0.51000000 -6.667704334907e-02 172146
  0.51500000  1.381696326909e-02 170386
  0.52000000 -1.079420567702e-01 168626
  0.52500000  1.913200136484e-02 166866
  0.53000000  7.479061150917e-02 165106
  0.53500000 -1.355355389134e-01 163346
  0.54000000  4.136734624252e-02 161586
  0.54500000 -1.399846783933e-02 159826
  0.55000000  1.255888834319e-01 158066
  0.55500000 -8.278110232834e-03 156306
  0.56000000 -1.935980335205e-02 154546
  0.56500000  1.311570243072e-01 152786
  0.57000000 -1.159895842585e-01 151026
  0.57500000 -1.040184062717e-01 149266
  0.58000000 -4.700552448625e-02 147506
  0.58500000  1.358185620677e-01 145746
  0.59000000  6.291145304704e-02 143986
  0.59500000 -1.186141089945e-01 142226
  0.60000000 -3.936534165965e-03 140466
  0.60500000 -8.155987316936e-02 138706
  0.61000000 -1.566620790850e-01 136946
  0.61500000 -1.572076648588e-01 135186
  0.62000000 -2.914996599048e-02 133426
  0.62500000  1.308171366920e-01 131666
  0.63000000  6.642205958532e-02 129906
  0.63500000  7.404418677154e-02 128146
  0.64000000  1.641126994225e-01 126386
  0.64500000  1.127805860131e-01 124626
  0.65000000 -4.006495703686e-02 122866
  0.65500000 -1.302571270109e-01 121106
  0.66000000 -3.443819258697e-03 119346
  0.66500000  1.705976664619e-01 117586
  0.67000000  1.232266661212e-01 115826
  0.67500000  1.227700726505e-01 114066
  0.68000000  8.655703583157e-02 112308
  0.68500000 -1.748834583296e-02 110550
  0.69000000 -6.244730993891e-02 108792
  0.69500000 -9.219283677045e-02 107036
  0.70000000  1.040286760786e-01 105280
  0.70500000  1.138410065964e-02 103524
  0.71000000 -9.537880202479e-02 101768
  0.71500000 -1.760542594216e-01 100012
  0.72000000 -1.363690245498e-01 98256
  0.72500000  4.345627361654e-02 96500
  0.73000000 -1.210906057435e-02 94744
  0.73500000  5.350086485284e-02 92988
  0.74000000  5.224220759723e-02 91232
  0.74500000  1.526300786978e-04 89476
  0.75000000  8.478299851658e-03 87720
  0.75500000  1.879495012680e-02 85964
  0.76000000  1.466938373083e-01 84208
  0.76500000  1.995604097312e-01 82452
  0.77000000  1.687342203547e-02 80696
  0.77500000  2.025976753699e-02 78940
  0.78000000  8.200803092962e-03 77184
  0.78500000 -8.236873431557e-02 75428
  0.79000000 -7.466154857313e-02 73672
  0.79500000 -1.322292875042e-01 71916
  0.80000000  1.113328936758e-01 70160
  0.80500000 -1.102449407613e-01 68406
  0.81000000 -1.669178962537e-01 66652
  0.81500000 -2.843700317812e-02 64898
  0.82000000 -1.266139323067e-03 63144
  0.82500000  1.655341954464e-01 61390
  0.83000000 -2.886455946830e-01 59636
  0.83500000 -1.652655645992e-01 57882
  0.84000000 -1.210956821009e-01 56128
  0.84500000 -1.567571374823e-01 54374
  0.85000000  1.332267806248e-01 52620
  0.85500000  9.663179568265e-02 50866
  0.86000000  4.341023856853e-01 49112
  0.86500000  1.892904639190e-01 47358
  0.87000000  1.076813378506e-01 45604
  0.87500000  2.289044091828e-01 43850
  0.88000000  2.360190994694e-02 42096
  0.88500000  3.213720338705e-01 40342
  0.89000000  1.136778217084e-01 38588
  0.89500000  1.610999908975e-01 36834
  0.90000000  1.994874927706e-01 35080
  0.90500000  1.821057007381e-02 33326
  0.91000000  8.323528235252e-02 31572
  0.91500000 -2.093095639355e-01 29818
  0.92000000  2.718178514300e-02 28064
  0.92500000  4.633282499850e-01 26310
  0.93000000 -9.000488932067e-03 24556
  0.93500000 -6.080080456847e-01 22802
  0.94000000 -9.011048628499e-01 21048
  0.94500000 -5.744859542918e-01 19294
  0.95000000 -5.200680542970e-01 17540
  0.95500000 -5.692577523210e-01 15786
  0.96000000  4.632337752229e-01 14032
  0.96500000  1.483697558120e+00 12278
  0.97000000  1.221075689894e+00 10524
  0.97500000  8.621675346348e-01 8770
  0.98000000  8.870940961311e-01 7016
  0.98500000  1.256525964580e+00 5262
  0.99000000 -1.492521753862e+00 3508
  0.99500000 -6.271135511803e+00 1754
