z_center_A,OH-_counts_per_frame,OH-_density,H2O_counts_per_frame,H2O_density
14.45,0.1153442328,0.05080954329,1.964251787,0.9165435769
14.55,0.1161441928,0.0511619285,1.896055197,0.8847222253
14.65,0.1128943553,0.04973036356,1.95540223,0.9124142666
14.75,0.1109444528,0.0488714246,1.880555972,0.8774901
14.85,0.1137443128,0.05010477285,1.862706865,0.8691614911
14.95,0.1011949403,0.04457672978,1.814109295,0.8464852787
15.05,0.1139443028,0.05019286916,1.847657617,0.8621393307
15.15,0.1088445578,0.04794641341,1.85480726,0.8654754401
15.25,0.1163441828,0.05125002481,1.771861407,0.8267719048
15.35,0.1222438878,0.05384886577,1.761861907,0.8221060174
15.45,0.1201439928,0.05292385458,1.803759812,0.8416560853
15.55,0.1348932553,0.05942095699,1.799060047,0.8394631183
15.65,0.1359432028,0.05988346259,1.86220689,0.8689281967
15.75,0.1227938603,0.05409113061,1.86340683,0.8694881032
15.85,0.1129943503,0.04977441171,1.876056197,0.8753904507
15.95,0.1095445228,0.04825475047,1.879156042,0.8768368758
16.05,0.1113444328,0.04904761721,1.90040498,0.8867518863
16.15,0.1044947753,0.0460303188,1.912954352,0.8926075749
16.25,0.1108944553,0.04884940052,1.894155292,0.8838357067
16.35,0.1149442528,0.05063335068,1.848457577,0.8625126017
16.45,0.1232938353,0.05431137137,1.865306735,0.8703746218
16.55,0.1147442628,0.05054525437,1.900254987,0.886681898
16.65,0.1156942153,0.05096371182,1.868656567,0.8719376941
16.75,0.1244437778,0.05481792511,1.861756912,0.8687182318
16.85,0.1224438778,0.05393696207,1.84700765,0.861836048
16.95,0.1396430178,0.06151324421,1.901554922,0.8872884634
17.05,0.1287935603,0.05673401972,1.914904255,0.893517423
17.15,0.1171941403,0.0516244341,1.91180441,0.8920709979
17.25,0.1043447828,0.04596424657,1.900754962,0.8869151924
17.35,0.1072446378,0.04724164298,1.85500725,0.8655687579
17.45,0.1147442628,0.05054525437,1.835058247,0.8562603127
17.55,0.1133943303,0.04995060432,1.807259637,0.8432891459
17.65,0.1186940653,0.05228515638,1.764461777,0.8233191481
17.75,0.1224938753,0.05395898615,1.768461577,0.8251855031
17.85,0.1081445928,0.04763807634,1.796660167,0.8383433053
17.95,0.1135943203,0.05003870063,1.809559522,0.8443623
18.05,0.1125943703,0.04959821911,1.805059747,0.8422626507
18.15,0.1068946553,0.04708747444,1.726563672,0.8056354352
18.25,0.1032948353,0.04550174097,1.704414779,0.7953004947
18.35,0.1145942703,0.05047918215,1.713264337,0.799429805
18.45,0.1106444678,0.04873928014,1.678166092,0.7830525405
18.55,0.1040947953,0.04585412619,1.680565972,0.7841723535
18.65,0.1132943353,0.04990655617,1.730513474,0.8074784607
18.75,0.1051947403,0.04633865586,1.722963852,0.8039557157
18.85,0.09919504025,0.04369576674,1.697365132,0.7920110442
18.95,0.1076446178,0.04741783558,1.708064597,0.7970035436
19.05,0.1032448378,0.0454797169,1.709914504,0.7978667328
19.15,0.1001449928,0.04411422419,1.669266537,0.7788999008
19.25,0.09384530773,0.04133919061,1.637368132,0.7640157202
19.35,0.08669566522,0.03818974775,1.614569272,0.7533774971
19.45,0.08804559772,0.0387843978,1.569271536,0.7322410275
19.55,0.09874506275,0.04349755006,1.570971451,0.7330342284
19.65,0.09924503775,0.04371779082,1.525523724,0.7118277705
19.75,0.1015449228,0.04473089831,1.556222189,0.7261520446
19.85,0.1065946703,0.04695532999,1.576821159,0.7357637725
19.95,0.1052947353,0.04638270401,1.502674866,0.7011662179
20.05,0.09649517524,0.04250646664,1.488875556,0.6947272934
20.15,0.09819509025,0.04325528522,1.380830958,0.6443123809
20.25,0.09364531773,0.04125109431,1.291185441,0.602482701
20.35,0.08529573521,0.03757307362,1.239438028,0.5783367341
20.45,0.08289585521,0.03651591797,1.173541323,0.5475885366
20.55,0.07134643268,0.03142835642,1.117094145,0.5212496026
20.65,0.07659617019,0.0337408844,1.03279836,0.4819161725
20.75,0.07119644018,0.0313622842,1.002149893,0.4676152278
20.85,0.06244687766,0.0275080709,0.9355032248,0.4365170888
20.95,0.06959652017,0.03065751376,0.8860056997,0.4134209465
21.05,0.05169741513,0.02277289456,0.8968051597,0.4184601048
21.15,0.04824758762,0.02125323332,0.8525573721,0.3978135534
21.25,0.04949752512,0.02180383522,0.7989100545,0.3727810679
21.35,0.04419779011,0.01946928317,0.7362631868,0.3435492838
21.45,0.04264786761,0.01878653681,0.7114644268,0.3319778833
21.55,0.04279786011,0.01885260904,0.6596670166,0.3078085869
21.65,0.0391980401,0.01726687557,0.6216189191,0.2900548856
21.75,0.03249837508,0.01431564939,0.5709714514,0.2664221663
21.85,0.03339833008,0.01471208275,0.5254737263,0.245192379
21.95,0.03334833258,0.01469005868,0.5030248488,0.2347174619
22.05,0.02969851507,0.01308230113,0.4547272636,0.2121812262
22.15,0.02519874006,0.01110013429,0.410779461,0.1916746514
22.25,0.02604869757,0.01147454359,0.3941302935,0.183905949
22.35,0.02449877506,0.01079179723,0.3504824759,0.1635393508
22.45,0.02524873756,0.01112215837,0.3283835808,0.1532277398
22.55,0.01824908755,0.008038787733,0.3268836558,0.1525278567
22.65,0.01969901505,0.008677485936,0.2959852007,0.1381102649
22.75,0.01774911254,0.007818546973,0.2665366732,0.1243692267
22.85,0.01339933003,0.005902452363,0.2397880106,0.1118879781
22.95,0.01184940753,0.005219706007,0.2094895255,0.09775033948
23.05,0.01019949003,0.0044929115,0.198340083,0.09254787511
23.15,0.008599570021,0.003788141069,0.1807909605,0.08435924286
23.25,0.006899655017,0.003039322485,0.1603419829,0.07481750327
23.35,0.009449527524,0.00416255036,0.1557922104,0.07269452454
23.45,0.007749612519,0.003413731777,0.1437928104,0.06709545975
23.55,0.00784960752,0.003457779929,0.1320933953,0.06163637158
23.65,0.00789960502,0.003479804005,0.1068446578,0.04985500608
